mm/dd/yyyy | hh:mm:ss | x → transcript | title + (participants)
01/04/2017 | 05:58:08 | 115823373, 115853924, 115901947, 112296480 | wk09X13mefQ, uZX160699KQ, EVUGdyy3cY0, j-9h60lEho4 | Fixing a PS4 controller, Glittermitten Grove (Jack, Rich)
01/08/2017 | 04:06:50 | 117254192, 117711952 | GQ3lg_jb0_M, jWHmz20jTEs | Tiny Heist, Go Long!, Secrets Agent, No Pineapple Left Behind, Gurgamoth, Orion Trail, Capsule, Find Me a Good One, Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist (Jack, Rich)
01/11/2017 | 02:50:57 | 118479825, 118522430 | PSrqadS3Sks, PK5H_rUF_m8 | Master Spy, The Stanley Parable, Orion Trail (Jack, Rich, Karin)
01/15/2017 | 03:46:27 | 119158827 | Fl4q7YuCpXo | XCOM: Enemy Unknown (Rich)
01/18/2017 | 03:36:08 | 120156489, 120202666 | wyk2YZxJUuI, 017x4gC9nBE | Warhammer 40,000: Dawn of War 2 (Jack, Rich)
01/22/2017 | 04:14:52 | 120858049, 121092092, 121620589 | nYV_RRXLBrk, DI1E2CBiCrs, b1QmpsCaS7k | Jalopy, Warhammer 40,000: Space Marine (Jack, Rich)
01/25/2017 | 03:50:51 | 121637713, 121707348 | PhXMeG_qPSY, WN3RXh2IH-g | Resident Evil 7: Biohazard (Jack, Rich)
01/29/2017 | 03:05:26 | 122277306, 122506354 | 2igKSbl3sFk, cLcD2f8kNAM | Master Spy, Valkyria Chronicles (Jack, Rich)
02/01/2017 | 03:21:05 | 122558377, 122723335 | N7rDdjrw1Ms, lVbGosHp_1U | LET IT DIE (Jack, Rich)
02/05/2017 | 03:34:13 | 123256577, 123486223, 123489370 | juxUmoSYFx0, ssjbk6_vBX0, cd0QKRD6q4I | Panty Party, XCOM: Enemy Unknown, The Binding of Isaac: Rebirth (Jack, Rich)
02/08/2017 | 04:28:02 | 124699861, 124751820 | iH82vP7HdKc, 3gOdBGA5fDs | Nioh (Jack, Rich, Jay
02/15/2017 | 04:52:42 | 124955579, 124982334, 122491639, 123310405 | tbb8FvkNkgc, -jba5nLwLDA, KsG92UNtAnc, NNYiPwSwnPc | WWE 2K16 (Jack, Rich, Josh)
02/19/2017 | 01:58:07 | 128995643, 129001297 | eO08rem6TGo, 8nbekCsS3ow | Tower of Guns, Ninja Pizza Girl (Jack, Rich)
02/22/2017 | 03:45:16 | 129005892, 129081657 | oV8P7LNI6FU, eWFNdm8fnVc | Overwatch (Jack, Rich)
02/26/2017 | 02:22:28 | 130215649, 130233355 | H3x7YhGNDfk, UiUgCTcVorY | Berserk (Jack, Rich)
03/01/2017 | 03:14:00 | 130640715 | QFVKhAhqv6k | Horizon Zero Dawn (Jack)
03/05/2017 | 04:29:56 | 133594122, 133596854, 133603358 | DihurWQrI-s, KFb8vlNwA14, ErCbEYwHKtQ | 1-2-Switch, SnipperClips, The Legend of Zelda: Breath of the Wild (Jack, Rich)
03/08/2017 | 04:06:58 | 134177231, 134179037 | O4qB4Y8Nw2I, -eoQiP95Flo | The Legend of Zelda: Breath of the Wild (Jack, Rich)
03/15/2017 | 02:25:36 | 134646344, 134647106 | UKgO7l7xTbg, NZSE_POJvwA | Plinkett's Little Adventure, Invisigun Heroes (Jack, Rich)
03/19/2017 | 04:36:32 | 135171641, 135177031 | 89rwyzTjD18, 3054_kdAcbk | Resident Evil, Nier: Automata (Jack, Rich)
03/21/2017 | 00:48:13 | 130239736 | 9O7D15E-zfc | FTL: Faster Than Light (Jack, Rich)
03/22/2017 | 03:59:10 | 133512973, 133515224 | gO-LTeBpgYM, NIScIGwEPQU | The Legend of Zelda: Breath of the Wild (Jack, Rich)
03/26/2017 | 02:20:35 | 136440160 | s8DQ8JvLYB8 | Phoenix Wright: Ace Attorney (Jack, Rich)
03/29/2017 | 03:47:48 | 136443129, 136447277 | p7tZQH2vEA8, eeuZZtj0X8o | Phoenix Wright: Ace Attorney (Jack, Rich)
04/02/2017 | 03:50:10 | 137750843, 137751752 | ctR09tOERRk, X0yVI6gqqpE | Catacomb Kids, Magicka (Jack, Rich)
04/07/2017 | 04:42:33 | 137752942, 137754213 | mpxiyjJbdeY, zDvUOsozY-k | 20XX, Spelunky (Jack, Rich)
04/09/2017 | 05:07:58 | 139706495, 139710556 | ytmwpx4VDx0, 9rW60Z8eL38 | The Legend of Zelda: Breath of the Wild (Jack, Rich, Jay)
04/12/2017 | 04:06:18 | 141216269, 141221202 | bp7J8-_b3qg, 6Md34TfbJjc | Bayonetta (Jack, Rich)
04/19/2017 | 03:24:49 | 141862421, 141871240 | PJc35Gk5Yfg, IxQsWzSoClA | Flinthook (Jack, Rich)
04/23/2017 | 02:53:13 | 145045681, 145047213 | rsclDhJSt3Y, K-wXUNdc-sQ | Shovel Knight (Jack, Rich)
04/26/2017 | 03:40:18 | 147256572, 147257673 | MyY5DDOQVyQ, _9UkbtE7AbU | Bayonetta 2 (Jack, Rich)
04/30/2017 | 04:14:03 | 147259770, 147261016 | hCX74lA0BsA, MMbz-Bb11J0 | Steredenn (Jack, Rich)
05/03/2017 | 03:28:16 | 149402902, 149404807 | DfYSClMJOzw, zSCYilZCubQ | The Legend of Zelda: Breath of the Wild (Jack, Rich)
05/07/2017 | 03:47:50 | 149406166, 149407179 | 5LhVN6q1JFU, Bs7EvuruJL8 | River City Ransom: Underground (Jack, Rich)
05/10/2017 | 05:19:24 | 150697147, 150702977 | jka_Ic4ivh0, siatSG14szM | STRAFE (Jack, Rich)
05/15/2017 | 03:30:00 | 153749776, 153754018 | 3spwufkT6_Y, aVttD5dRNWs | Zelda: Oracle of Seasons (Jack, Rich)
05/17/2017 | 04:25:03 | 153839815, 153846860 | GY-0kWZZcLk, NlBB-mEQNYA | STRAFE (Jack, Rich, Karin)
05/21/2017 | 03:18:17 | 153856562, 153861092 | PY_hcSkJ8GI, a7YbVqJcuCU | Ziggurat (Jack, Rich)
05/24/2017 | 03:26:26 | 155045636, 155092048 | gW0qBni2lpM, 03phPW_a8Xk | The Surge (Jack, Rich)
05/26/2017 | 03:34:27 | 155623519 | vNCrQFI_vi8 | Vanquish (Jack Rich)
05/28/2017 | 05:47:49 | 156131378, 156159159, 156292766 | tiPA_e6Wp7I, 94khWgPVj4U, 08WDhRA3cps | Lego Worlds, Friday the 13th: The Game (Rich, Karin)
05/31/2017 | 04:39:21 | 158620887, 158632844 | xvAQhleaigc, agMvDTiigf0 | Friday the 13th: The Game (Jack, Rich, Jay)
06/04/2017 | 01:29:42 | 158644159, 158658435 | hUbZTCLPI20, hfaSllC4ZUY | STRAFE, Friday the 13th: The Game (Jack, Rich)
06/05/2017 | 04:14:43 | 158883121, 158895662, 158899231 | CjHXwXYQpLQ, KC6powhN9Tg, vrp3YJI3e90 | FTL: Faster Than Light, Organ Trail, The Barbie Game: Queen of The Prom (Jack, Rich, Karin, Katie)
06/07/2017 | 02:06:03 | 159355651 | g6mw6JMIAIc | The Witcher 3: Wild Hunt (Jack)
06/11/2017 | 04:03:00 | 159387973, 159407115 | H3cB49hbId4, 5CPDZeEcJrc | Friday the 13th: The Game (Jack, Rich)
06/14/2017 | 04:03:23 | 161889759, 161901493 | CIOAoYSRKDs, hpwiP_eUhRg | Friday the 13th: The Game, E3 (Jack, Rich)
06/21/2017 | 04:22:14 | 162380759, 162438655 | 5Eyr7zvqaiE, Tqhy-I_Fb3M | Friday the 13th: The Game (Jack, Rich)
06/28/2017 | 03:50:08 | 162732924, 163163810 | bz6CJSZVP1Q, s2nQGPJYTC0 | Wolfenstein: The New Order (Jack, Rich)
07/02/2017 | 04:21:27 | 163495784, 163502569 | tTl_KN0o1t8, Lz90b1z2b-8 | Friday the 13th: The Game (Jack, Rich)
07/05/2017 | 04:44:26 | 164132318, 164135708 | 0wMphCnr5mo, qKzJsfV-viE | Friday the 13th: The Game (Jack, Rich)
07/09/2017 | 03:34:19 | 164509834, 164516402 | yKfXZ81f__o, h13LSCKGfUQ | Wolfenstein 3D, Friday the 13th: The Game (Jack, Rich)
07/12/2017 | 04:36:14 | 164525722, 164530210 | JdBUbvOc_kE, 9NL1ZFijffw | Watchmen: The End is Nigh (Jack, Rich)
07/16/2017 | 03:32:00 | 166667830, 166682561, 166964351 | ZQA5pedBJwY, TtIHnQ-ypp8, -hL07lmQj-0 | Friday the 13th: The Game, Press X to Not Die, PlayerUnknown's Battlegrounds (Jack, Rich)
07/19/2017 | 05:31:45 | 166966545, 166968002 | Uro-Gb_wzWU, WAj0hM65p0Y | PlayerUnknown's Battlegrounds, Friday the 13th: The Game (Rich)
07/22/2017 | 03:52:29 | 166980168, 166980994 | DxYFXPiKHqQ, uluyXlcZnIc | Doom, Mega Man Maker (Rich)
07/26/2017 | 04:51:36 | 168469594, 168482251 | gjsH2ISyEoA, fLNoTtUOFDQ | PlayerUnknown's Battlegrounds (Jack, Rich)
07/30/2017 | 03:49:50 | 168549034, 168549868 | HcpnEmoLTCE, sop6LJCW2I0 | PlayerUnknown's Battleground (Jack, Rich)
08/02/2017 | 04:35:29 | 169268463, 169702530 | TUqsiTeM8l8, jkR1A-DYe7M | Dead Cells (Jack, Rich)
08/06/2017 | 03:06:36 | 169707999, 169714808 | uuEvwXM8cAk, qhd43DCRUSc | Dead Cells, Friday the 13th: The Game (Rich, Karin)
08/09/2017 | 04:31:54 |    --     | G8McwH4SaxQ | Friday the 13th: The Game (Rich, Karin)
08/13/2017 | 04:39:25 | 170543318, 170988390 | IfJ0yZfCiN8, Tne4rL2IYLI | PlayerUnknown's Battlegrounds, Friday the 13th: The Game (Jack, Rich)
08/16/2017 | 03:55:24 | 171028720, 171041791 | dIG02v6zhQw, Le4LuOJXxGw | Hollow Knight, 20XX (Jack, Rich)
08/20/2017 | 04:45:28 | 171742028, 171975795 | 1lrn-IlFqlA, -tzeBFQbMT0 | FTL: Faster Than Light, PlayerUnknown's Battlegrounds (Jack, Rich)
08/23/2017 | 03:18:14 | 172465832, 172479131 | OlDlgAh1Z7U, fen2W_2MxpI | PlayerUnknown's Battlegrounds (Jack, Rich)
08/27/2017 | 04:38:09 | 172573649, 172585561 | T2IbzpwipZA, Ex4CKKVsld0 | Sky Rogue (Jack, Rich)
08/30/2017 | 05:25:45 | 172752806, 173218384 | UpiufrtGj2U, INofjxLYg94 | Mario + Rabbids Kingdom Battle (Jack, Rich)
08/31/2017 | 03:24:10 | 174010840 | _mtXJRhHiTc | Friday the 13th: The Game (Jack, Rich)
09/03/2017 | 04:05:42 | 174225899, 174355985 | 7qWyqm0FP98, srsgyAI1rDI | Mario + Rabbids Kingdom Battle (Jack, Rich)
09/06/2017 | 03:42:01 | 174698830, 174706247 | LipcyQpWV9Q, 89TCAAtTLe4 | Fight of Gods (Jack, Rich)
09/10/2017 | 05:43:46 | 175198066, 175472323 | q2zi8nx-214, rzl6hFC1-n4 | XCOM 2: War of the Chosen (Jack, Rich)
09/17/2017 | 04:23:09 | 175946212, 175990933 | 7hzhtR_jB0E, ZIbTuvpWS6E | Metroid: Samus Return (Jack, Rich)
09/20/2017 | 04:01:33 | 176332584, 176334428 | TLGpIpdBePI, FpiTAIGrgbc | XCOM 2: War of the Chosen (Jack, Rich)
09/24/2017 | 02:50:56 | 177773729 | W47jsSQzqxo | LEGO basement sorting (Jack)
09/27/2017 | 04:53:24 | 178116468, 178121208, 178357767 | aNTZqZinP9w, -UYZ8XLtrOc, 1kfh2QrzsrM | Heat Signature, XCOM 2: War of the Chosen (Jack, Rich)
10/01/2017 | 03:30:29 | 179082368, 179083500, 179084765 | lK7WPtRk3F4, pvpN0aa3MtU, gS4ywctHU28 | Cuphead, XCOM 2: War of the Chosen (Jack, Rich)
10/04/2017 | 02:47:20 | 179819722, 179821171 | axRU6V_zFGo, PWE9-yVIazA | FTL: Faster Than Light, Spelunky (Jack, Rich)
10/08/2017 | 04:58:07 | 180930263 181072303 181425765 | p6mJTe8CXCA eN6QnFWiNYc oC0y5437NJI | Golf Story, Stardew Valley (Jack, Rich)
10/11/2017 | 03:39:53 | 181593254 181594620 | mKM0wyhfzec 9xd6HUEp2QE | Brutal Legend (Jack, Rich)
10/15/2017 | 04:37:13 | 182617851 182619385 | AIh9p3zWDl0 D5PJXa5NJsM | Friday the 13th: The Game (Jack, Rich)
10/18/2017 | 04:32:07 | 183345981 183347636 183348875 | T-wbOA_lJtM HnSG9Sc6Sbo _-NQKFWSH_c | Heat Signature, Overgrowth (Jack, Rich)
10/22/2017 | 05:13:55 | 184463827 184465501 184467237 | ZtCZXxbQMFo oyIP5wL615Q iaxL3PtvXgE | Space Quest II (Jack, Rich)
10/25/2017 | 04:32:29 | 185502791 185507635 186064468 | JhXnW5KaqjI tHD4kJSMCG8 pSTEl3xgDB8 | Stardew Valley, The Witcher 3: Wild Hunt (Jack, Rich)
10/29/2017 | 04:31:01 | 186238820 186240610 | 3zEoHXJ9WuY VkEZGcC-848 | Mario Odyssey (Jack, Rich)
10/31/2017 | 04:10:10 | 186719956 186723147 186724418 | PYS1Rqx-neE GhxJVhnqyDg mlFKpGEpAjo | Death Road to Canada, Friday the 13th: The Game (Jack, Rich)
11/05/2017 | 04:25:14 | 188068713 188070695 188072204 | 9GzoI20sF3E 5Wk0oLR7PiU dsDASsJdW7k | Mario Odyssey (Jack, Rich)
11/08/2017 | 04:11:23 | 188805622 188807281 | 6Tf66ueqE1k zHdAs7_xaQw | Hand of Fate 2 (Jack, Rich)
11/12/2017 | 02:45:59 | 201223701 201224262 | XaBWwDpbeFU _VeYbJtVjSo | Final Fantasy VII (Jack, Rich, Karin, Katie, Erin, Jim)
11/16/2017 | 03:11:37 | 202072189 202126132 | HVDaGVdHfwg 39Prz1AlkAg | Horizon Zero Dawn (Jack)
11/19/2017 | 04:13:37 | 202812062 202814190 202816017 | d-0USa0rLgs Q6k3PO5XlSQ ZWIDd8qAmaI | Superflight, Hand of Fate 2 (Jack, Rich)
11/26/2017 | 06:59:39 | 205611112 205613187 205618586 | HGNAGIzvM7c zhACqhr1vxc SUrI2Wg-ZHc | Little Nightmares, The Witcher 3: Wild Hunt (Jack, Rich)
11/29/2017 | 01:55:58 | 205616229 | OCKb1yrgypY | AER: Memories of Old (Jack, Rich)
12/05/2017 | 06:06:21 | 207283334 207397522 207399243 | LqnUTazgCik NF-wZslptQA AFA227FU9So | Overwatch, Spider-Man 2, The Incredible Hulk: Ultimate Destruction (Jack)
12/10/2017 | 02:22:25 | 208665282 208669962 | 72v_JDVxY0M CHRC2lKQ8gg | Getting Over It with Bennett Foddy (Jack, Rich)
12/13/2017 | 04:32:40 | 209388198 | 7ChkqOBr-hY | Ghostbusters: The Video Game (Jack)
12/17/2017 | 04:01:35 | 210513404 210516725 210518156 | 7l-tunxwCTQ b0fGc_WO1Yc rZ83mOxb0VA | Ghostbusters: The Video Game (Jack, Rich)
12/20/2017 | 04:36:33 | 211300206 211304199 211305472 | rT4a5Wi2OvU AXaqxSezKA0 _ctMyMF6frs | Okami (Jack, Rich)
12/27/2017 | 05:22:18 | 213173589 213175171 | N0sYKNpCEY4 ybrIApVOahE | Ghostbusters: The Video Game, Friday the 13th: The Game (Rich)
12/31/2017 | 03:32:36 |    --     | JlXtN2SuvE4 z74BzgkeHds | Dead Rising 2 (Rich)
01/03/2018 | 03:34:14 |    --     | OoO7F9QSX0o rUPgmV9yP1k | Dead Rising (Jack, Rich)
01/07/2018 | 04:57:05 | 216539652 216541941 216543454 | g7qBCYL_NEE GH1S1q4GxLI yW3Qfi-KbVA | Getting Over It with Bennett Foddy, PlayerUnknown's Battlegrounds (Jack, Rich)
01/10/2018 | 03:50:32 | 217441932 217443615 217444289 | AS1zBBTwPGE i3cg-d6Qqug FxqMaNv_OOQ | PlayerUnknown's Battlegrounds, general discussion, Left 4 Dead 2 (Jack, Rich)
01/14/2018 | 03:47:39 | 218738560 218739333 218740329 | 5t2pIzCBsWg vv2L2Oip0-4 D6OMgglwjHI | PlayerUnknown's Battlegrounds (Jack, Rich)
01/17/2018 | 04:51:42 | 219725204 219725914 219728332 | fsDNpLZwfNE X5RqerkRpfI unbejgt_0LU | Human Fall Flat, Spelunky (Jack, Rich)
01/21/2018 | 04:27:30 | 221136810 221139365 221141521 | Wlq6qfdlUS8 GZhk8mbEbMc iNAsCwIoWek | Dead Rising 2 (Jack, Rich)
01/24/2018 | 04:14:53 | 222100427 222102318 | C_LUYzBToNw KHsORQsc0nQ | Iconoclasts, Tony Hawk's Pro Skater HD (Jack, Rich)
01/26/2018 | 04:20:54 | 223514288 | aH9W-GLtNXg | Dead Rising 2 (Rich)
01/28/2018 | 04:11:35 | 223517370 223518822 | Ic20vtSQ-j8 XLhhbz_J7Nw | Titanfall (Jack, Rich)
01/31/2018 | 03:53:12 | 224489890 224490087 | ijRG9BDq8Us IQab8HHV9Hs | Friday the 13th: The Game (Rich)
02/04/2018 | 04:26:51 | 225834050 225836317 | Dr6L4Rlo2EQ IsxAux_UL3k | Slay the Spire (Jack, Rich)
02/07/2018 | 04:32:16 | 226846810 226849185 226851476 | t_CbSaxFtXU 06UpkjpmAk4 ZqlWlBBg5W0 | Dandara, Slay the Spire (Jack, Rich)
02/09/2018 | 11:35:11 | 227554967 227555449 227555708 | e-OT_JZ5s1Q WZd9Rr7LNkk XoCCgidqLxc | Dead Rising 2 (Rich)
02/11/2018 | 04:32:24 | 228250761 228251768 228252538 | J9DXsBjCaRM VtEAvjc6SZU Ka4fdxjFpLs | Slay the Spire, Injustice: Gods Among Us (Jack, Rich)
02/15/2018 | 03:27:37 | 229502235 229504053 | w9HvvGU5mG4 3Y5Z3bAxnII | Injustice: Gods Among Us (Jack, Rich)
02/18/2018 | 06:44:31 | 230998008 230998807 230999165 | XNiYrT6cFlg qlepOcM35WI VObkAnSerpU | Dead Rising 3 (Jack, Rich)
02/21/2018 | 03:46:11 | 231536295 231538479 | o5xYrxszDtU 1oRuprc7XiY | Slay the Spire (Jack, Rich)
02/25/2018 | 05:04:25 | 234368826 234370875 234382573 | tmRyhP7HNso mfkvC7ZtcNk QGB7wqgIbW4 | Slay the Spire (Jack, Rich)
03/01/2018 | 02:48:43 | 235391137 | scAk0ew48AQ | Into the Breach (Jack)
03/04/2018 | 04:21:37 | 235392601 235393801 235394014 | rQH9R6Wn6ZI vIP3klkj51I VIqGOTWkRCU | Dishonored (Rich)
03/07/2018 | 03:06:10 | 237890196 237892708 | KOsEzIveFo0 E5q5-n0Z1PM | Into the Breach! (Jack, Rich)
03/11/2018 | 04:07:30 | 237895862 237898520 | WRFt-fMrMAw eyenqpdo3q8 | Bloodborne (Jack, Rich)
03/14/2018 | 04:11:30 | 238915591 238922652 | jwo-B09tD7g y_08XqMCRvg | Ghost of a Tale, Slay the Spire (Jack, Rich)
03/18/2018 | 04:04:39 | 240383197 240387010 240387850 | qdqMm0qk3VU fXwhKEUJqTk OfcHZp5YYB0 | Bloodborne (Jack, Rich)
03/21/2018 | 03:31:49 | 241570802 241579956 | qNKhUfQEd9k VX-jdcvAVsA | Serial Cleaner, Viscera Cleanup Detail (Jack, Rich)
03/25/2018 | 07:11:33 | 248335427 248337297 248339066 248521479 | YFXCyEcmy6g qhlyeRjojK8 Jq5rfUv3GGY --- | Bloodborne (Jack, Rich)
03/28/2018 | 03:37:28 | 249411949 249413307 249415242 | I2y0r7P1IiY 63_3bCRqgUQ ANdV65o3Hgo | Dishonored, Slay the Spire (Jack, Rich)
04/08/2018 | 04:02:37 | 252001718 252005055 252007723 | _9aacOShfVw kvFeA8tbMOM -syyYZ95XAA | Diddy Kong Racing, The Legend of Zelda: Breath of the Wild (Jack, Rich)
04/16/2018 | 03:24:07 | 253564859 | tZiUbDbm21c | The Legend of Zelda: Breath of the Wild (Jack)
04/18/2018 | 03:44:04 | 254144683 254325681 254327107 | 1eMYkyQk_3g A5YINZCsHR0 d0nud5pFdTc | The Legend of Zelda: Breath of the Wild (Jack, Rich)
04/22/2018 | 03:28:19 | 254580850 254584606 254586793 | KI2Etq_A03U cFWp2Jx0jc0 nLoCum1oRJg | God of War (Jack, Rich)
04/25/2018 | 04:47:08 | 254593182 254595573 254597840 | _fKPboJicSc MjB-usWZ2Js 8TBSUckpjVg | The Legend of Zelda: Breath of the Wild (Jack, Rich)
04/29/2018 | 04:52:31 | 256048290 256050171 256051320 | YS_5f5pd-kw ffez980BWJQ kfONQNvSg1E | God of War, Slay the Spire (Jack, Rich)
05/02/2018 | 04:02:58 | 257144605 257148386 257149751 | BL9vkxNhY-E 2zKts6XNIiw KbWObYxvuF0 | Minit, God of War (Jack, Rich)
05/09/2018 | 03:38:07 | 259701641 259705558 259707028 | I9meT9m3QvY wA9RxC7tWIg DvzC3qx-oyw | Detective Pikachu, The Legend of Zelda: Breath of the Wild (Jack, Rich)
05/16/2018 | 03:59:16 | 262256730 262260930 262265156 | xhGOUtvBaVE hPEYHzU3GbA i6kP-qdOh20 | Wizard of Legend (Jack, Rich)
05/20/2018 | 04:05:49 | 264753137 264758141 | zskWI5MjpmY B3wqboiVLBA | BattleTech (Jack, Rich)
05/23/2018 | 03:46:44 | 264866074 264873548 264877542 | uq_F1apdjTQ qU5z8qwJvrE rh1BOxgTs2s | Hyrule Warriors (Jack, Rich)
05/27/2018 | 03:24:55 | 269170974 269171684 | Ils2ZZg9PbU xN29neOVLkw | Space Quest III (Jack, Rich)
05/30/2018 | 04:26:25 | 269173264 269176509 | qhc9HClLfls CW9VXMkgMxs | Space Quest III, Descenders (Jack, Rich)
06/03/2018 | 02:46:09 | 269180313 269181145 | SoL1uA-kdqE l5jbz-CWYl0 | UNWORTHY, Friday the 13th: The Game (Jack, Rich)
06/06/2018 | 04:33:13 | 278450237 278453513 278457094 | O_ABXDLojxk yGC9Ihr94TM WvTBr-oTyVA | Shaq Fu, Moonlighter (Jack, Rich)
06/10/2018 | 04:45:48 | 273159188 273159187 | UH5pJPIKsl4 r--SBOn3EFk | Skyrim (Jack)
06/13/2018 | 03:09:00 | 273173027 273173026 273173028 | Y5i-9XedyyM LiSUg0dqD9A B1hbGvzDqPs | E3 2018 (Jack, Rich)
06/17/2018 | 04:04:37 | 274566265 274568882 274571831 | jjsZ5xxlyKc 3YUHvJ3GHFM phYB8NXTRJ4 | The Witcher 3: Wild Hunt (Jack, Rich)
06/20/2018 | 04:33:40 | 278343806 278349404 278353242 | ajtD0UsIR2U SXwi5cN90eo E0fidGC90Uc | Recettear: An Item Shop's Tale, Enter the Gungeon, The Witcher 3: Wild Hunt (Jack, Rich)
06/25/2018 | 05:09:54 | 278461916 278465022 278468225 | f9wkEgysQAU wN_59GFAyII vXk-1kfCfys | Spider-Man: Web of Shadows, Spider-Man: Shattered Dimensions (Jack, Rich)
06/27/2018 | 04:11:52 | 278472845 278476648 | wJ_blCRif6o yr3uwC4YAeo | Injustice 2 (Jack, Rich)
07/01/2018 | 04:02:56 | 279944992 279948205 | _2w_XbDwlBU MQNZObyFWwI | Injustice 2 (Jack, Rich)
07/11/2018 | 06:06:58 | 283637825 283641274 283645405 | qKlBVHTKWD0 qO_39IvbByI w6D8e1oiezA | Orcs Must Die! (Jack, Rich)
07/15/2018 | 03:56:03 | 285230149 285230148 | A09WYiIbmkk 444X-JRRw3U | Tomb Raider (Jack, Rich)
07/18/2018 | 03:34:10 | 286449618 286449619 | SWJkrAjbqL0 acKv6FlhTL8 | Orcs Must Die! (Jack, Rich)
07/22/2018 | 04:23:29 | 288091864 288091865 | tp2pg4s2J0Y 5e8wBm4o5Ws | MOTHERGUNSHIP, Bloodstained: Curse of the Moon (Jack, Rich)
07/25/2018 | 05:24:23 | 289347253 289348066 | 8JivUDxsbvE op1sxzbWkeo| PlayerUnknown's Battlegrounds, Rocket League, Rocket League, Friday the 13th: The Game (Jack, Rich)
